iter	Passed	Remaining
0	140	140575
1	146	73002
2	152	50821
3	158	39562
4	165	32918
5	171	28376
6	177	25223
7	184	22914
8	191	21101
9	198	19640
10	205	18451
11	211	17435
12	217	16517
13	224	15790
14	230	15158
15	237	14604
16	243	14103
17	249	13635
18	255	13209
19	262	12867
20	269	12565
21	276	12274
22	282	11986
23	288	11748
24	295	11510
25	301	11285
26	306	11059
27	312	10852
28	318	10657
29	324	10486
30	330	10328
31	337	10201
32	342	10046
33	349	9923
34	355	9799
35	361	9670
36	366	9537
37	372	9425
38	377	9309
39	383	9206
40	390	9122
41	396	9033
42	401	8946
43	408	8877
44	414	8791
45	420	8727
46	426	8652
47	432	8569
48	438	8505
49	443	8426
50	449	8369
51	455	8311
52	461	8245
53	467	8194
54	473	8142
55	479	8082
56	485	8039
57	491	7986
58	497	7930
59	503	7893
60	509	7843
61	516	7810
62	522	7776
63	529	7746
64	536	7710
65	542	7677
66	548	7640
67	554	7606
68	561	7575
69	566	7531
70	572	7487
71	577	7443
72	583	7408
73	589	7372
74	594	7331
75	600	7300
76	606	7265
77	611	7231
78	617	7204
79	623	7167
80	629	7139
81	634	7106
82	639	7067
83	645	7040
84	651	7008
85	656	6975
86	662	6949
87	668	6924
88	673	6897
89	680	6875
90	685	6850
91	691	6827
92	697	6803
93	702	6775
94	709	6755
95	715	6733
96	720	6707
97	727	6697
98	734	6682
99	740	6666
100	747	6649
101	753	6637
102	760	6622
103	767	6609
104	773	6596
105	780	6583
106	786	6566
107	793	6549
108	799	6533
109	805	6519
110	812	6504
111	817	6482
112	822	6459
113	828	6440
114	834	6419
115	839	6398
116	844	6376
117	850	6353
118	855	6333
119	861	6317
120	866	6297
121	871	6273
122	877	6255
123	882	6237
124	888	6218
125	893	6200
126	899	6181
127	905	6168
128	911	6151
129	916	6136
130	922	6120
131	928	6104
132	933	6088
133	940	6077
134	945	6060
135	952	6049
136	958	6035
137	963	6020
138	969	6005
139	975	5992
140	980	5974
141	986	5957
142	992	5945
143	998	5933
144	1004	5921
145	1009	5905
146	1014	5889
147	1020	5874
148	1026	5860
149	1031	5842
150	1036	5829
151	1043	5820
152	1049	5808
153	1055	5797
154	1060	5783
155	1066	5769
156	1071	5753
157	1077	5740
158	1082	5724
159	1087	5710
160	1093	5695
161	1098	5681
162	1104	5669
163	1109	5657
164	1115	5646
165	1122	5641
166	1128	5627
167	1133	5614
168	1138	5599
169	1143	5584
170	1149	5571
171	1154	5556
172	1159	5541
173	1165	5530
174	1170	5519
175	1176	5509
176	1182	5498
177	1188	5486
178	1193	5472
179	1198	5458
180	1203	5446
181	1208	5433
182	1214	5421
183	1219	5409
184	1225	5398
185	1231	5389
186	1237	5378
187	1242	5367
188	1248	5355
189	1253	5344
190	1260	5337
191	1265	5326
192	1271	5316
193	1277	5306
194	1282	5295
195	1287	5283
196	1293	5272
197	1299	5262
198	1304	5251
199	1310	5242
200	1316	5231
201	1321	5220
202	1327	5211
203	1333	5202
204	1338	5190
205	1344	5181
206	1349	5169
207	1354	5157
208	1360	5150
209	1366	5139
210	1371	5127
211	1377	5119
212	1382	5109
213	1388	5100
214	1394	5091
215	1399	5081
216	1406	5073
217	1411	5062
218	1416	5051
219	1421	5041
220	1427	5030
221	1433	5023
222	1439	5014
223	1444	5005
224	1450	4997
225	1456	4989
226	1462	4979
227	1467	4970
228	1473	4961
229	1478	4951
230	1484	4940
231	1490	4933
232	1496	4925
233	1501	4916
234	1506	4905
235	1512	4897
236	1519	4891
237	1524	4881
238	1530	4872
239	1536	4864
240	1541	4855
241	1546	4845
242	1552	4837
243	1558	4829
244	1564	4821
245	1571	4816
246	1577	4809
247	1583	4801
248	1589	4793
249	1594	4783
250	1600	4774
251	1606	4767
252	1611	4758
253	1617	4751
254	1623	4742
255	1628	4732
256	1634	4725
257	1639	4715
258	1645	4706
259	1651	4700
260	1656	4690
261	1661	4680
262	1667	4671
263	1672	4661
264	1677	4651
265	1682	4643
266	1687	4633
267	1692	4623
268	1698	4614
269	1703	4605
270	1708	4596
271	1714	4588
272	1720	4580
273	1725	4571
274	1730	4562
275	1736	4554
276	1741	4545
277	1747	4538
278	1752	4529
279	1757	4520
280	1763	4513
281	1769	4504
282	1774	4495
283	1780	4488
284	1785	4480
285	1791	4471
286	1796	4463
287	1802	4455
288	1807	4446
289	1812	4438
290	1818	4429
291	1823	4420
292	1829	4413
293	1834	4405
294	1839	4396
295	1845	4388
296	1850	4380
297	1856	4372
298	1861	4365
299	1867	4357
300	1872	4349
301	1878	4342
302	1884	4334
303	1890	4328
304	1895	4319
305	1900	4310
306	1907	4305
307	1913	4299
308	1919	4291
309	1924	4284
310	1930	4275
311	1935	4268
312	1941	4260
313	1946	4252
314	1952	4246
315	1958	4239
316	1964	4233
317	1970	4226
318	1977	4220
319	1982	4212
320	1987	4204
321	1993	4197
322	1998	4189
323	2004	4181
324	2009	4173
325	2014	4164
326	2020	4158
327	2026	4152
328	2032	4145
329	2037	4137
330	2043	4130
331	2049	4123
332	2055	4116
333	2060	4108
334	2065	4100
335	2071	4093
336	2076	4084
337	2080	4075
338	2086	4068
339	2091	4059
340	2096	4051
341	2101	4042
342	2105	4033
343	2110	4024
344	2115	4016
345	2120	4008
346	2125	4000
347	2131	3992
348	2136	3985
349	2142	3978
350	2147	3970
351	2152	3963
352	2158	3955
353	2164	3949
354	2170	3943
355	2175	3935
356	2181	3930
357	2187	3923
358	2193	3916
359	2199	3909
360	2205	3903
361	2211	3897
362	2217	3891
363	2223	3884
364	2228	3877
365	2234	3871
366	2240	3863
367	2245	3856
368	2251	3849
369	2256	3842
370	2262	3835
371	2267	3827
372	2273	3821
373	2279	3815
374	2284	3807
375	2290	3800
376	2295	3793
377	2302	3788
378	2307	3781
379	2313	3774
380	2318	3767
381	2323	3759
382	2329	3752
383	2334	3745
384	2339	3737
385	2345	3730
386	2350	3723
387	2355	3715
388	2362	3710
389	2368	3703
